sign,norwegian,swedish,danish
all,same,same,same
animal,diff,same,same
bad,same,diff,same
because,same,same,same
bird,same,same,same
black,same,same,diff
blood,same,same,diff
child,same,same,diff
count,diff,diff,diff
day,diff,same,same
die,same,same,diff
dirty,same,same,same
dog,same,same,same
dry,diff,diff,diff
dull,same,diff, same
dust,diff,diff,
earth,same,same,same
egg,diff,same,same
grease,diff,diff,diff
father,same,diff,same
feather,same,same,
fire,same,same,same
fish,same,same,same
flower,same,same,same
good,same,same,same
grass,diff,same,same
green,same,same,diff
heavy,same,same,diff
how,diff,diff,diff
hunt,same,same,same
husband,diff,diff,diff
ice,diff,diff,diff
if,diff,diff,diff
kill,diff,diff,diff
laugh,diff,diff,diff
leaf,same,same,same
lie,diff,diff,diff
live,same,same,same
long,same,same,same
louse,diff,diff,
man,same,same,same
meat,same,diff,same
mother,same,diff,same
mountain,diff,same,same
name,same,same,diff
narrow,same,same,same
new,diff,diff,diff
night,same,same,diff
not,same,same,diff
old,diff,diff,diff
other,diff,diff,diff
person,same,same,same
play,diff,diff,diff
rain,same,same,same
red,same,diff,same
correct,same,same,same
river,same,same,same
rope,same,same,same
salt,same,same,same
sea,same,same,same
sharp,same,same,same
short,same,same,same
sing,same,diff,same
sit,same,same,diff
smooth,same,same,same
snake,diff,diff,diff
snow,same,same,same
stand,same,same,same
star,diff,diff,diff
stone,same,same,diff
sun,same,same,same
tail,same,same,same
thin,same,same,same
tree,same,diff,same
vomit,same,same,same
warm,same,same,diff
water,diff,diff,diff
wet,diff,diff,diff
what,same,diff,same
when,diff,diff,diff
where,diff,diff,diff
white,same,same,diff
who,diff,diff,diff
wide,same,same,same
wife,diff,diff,diff
wind,same,diff,same
with,diff,diff,diff
woman,same,same,diff
wood,same,diff,same
worm,same,diff,same
year,same,diff,same
yellow,same,same,diff
full,same,same,same
moon,same,diff,same
brother,diff,diff,diff
cat,diff,diff,diff
dance,same,same,diff
pig,same,same,same
sister,diff,diff,diff
work,same,same,same
